OBJECTID,Site,SOC,SAND,CLAY,ANPP_MAP_E,MAT,MAP,LIG,N,CN,CDI,SAND2,CLAY2,LAT,LONG,L1,ELEVATION,ASPECT_CLA,SLOPE,CURVATURE,GOOGLE_DIR,Kormos_MAP,Kormos_MAT,canopy_hei,rcew_veg_c,predicted_,rcew_DEM_3,pred_MAP
62,S52,0.863888889,17.95333333,23.23333333,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.14386556,-116.7355844,S12Aa,NA,NA,NA,NA,Ryan_Will,356.7529907,8.1654196,0.114188,15.3666,-96.1035995,1619.119995,688.9200439
63,S52,0.863888889,17.95333333,23.23333333,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.14386556,-116.7355844,S12Ab,NA,NA,NA,NA,Ryan_Will,356.7529907,8.1654196,0.114188,15.3666,-96.1035995,1619.119995,688.9200439
64,S52,0.863888889,17.95333333,23.23333333,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.14386556,-116.7355844,S12Ac,NA,NA,NA,NA,Ryan_Will,356.7529907,8.1654196,0.114188,15.3666,-96.1035995,1619.119995,688.9200439
65,S53,0.587352941,24.25294118,38.65352941,302.487238,8.2,360.79,16.6,1.37,36.496,0,0,0,43.14393712,-116.7367838,Lower Sheep Creek,1614.47,Northwest,9.8,0.65,Nicholas_Patton,360.6390076,8.1999998,0.0700836,0,-110.0210037,1614.439941,676.4266968
66,S54,0.576129032,26.79516129,26.38645161,290.987926,8.2,353.83,16.6,1.37,36.496,0,0,0,43.1439637,-116.7353485,Lower Sheep Creek,1618.39,North,4.4,0.18,Nicholas_Patton,354.4710083,8.1999998,0.0666284,2.5657201,-97.2988968,1618.319946,686.4300537
67,S55,0.928333333,24.19333333,25.87,289.567034,8.2,352.97,16.6,1.37,36.496,0,0,0,43.14459543,-116.73561,Lower Sheep Creek,1609.77,North,7.7,-1.58,Nicholas_Patton,352.5100098,8.1999998,0.0068309,0,-20.0743008,1609.550049,663.8599243
68,S56,0.397777778,34.33333333,29.4,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.1504882,-116.7093924,S4Aa,NA,NA,NA,NA,Ryan_Will,386.5299988,7.8000002,0.0837454,11.2734003,-127.2669983,1623.400024,528.2417603
69,S56,0.397777778,34.33333333,29.4,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.1504882,-116.7093924,S4Ab,NA,NA,NA,NA,Ryan_Will,386.5299988,7.8000002,0.0837454,11.2734003,-127.2669983,1623.400024,528.2417603
70,S56,0.397777778,34.33333333,29.4,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.1504882,-116.7093924,S4Ac,NA,NA,NA,NA,Ryan_Will,386.5299988,7.8000002,0.0837454,11.2734003,-127.2669983,1623.400024,528.2417603
71,S57,0.571666667,24.035,33.69333333,178.704414,8.7,285.87,16.6,1.37,36.496,0,0,0,43.16761023,-116.7130538,Nancy Gulch,1423.26,Northeast,6.3,0.75,Nicholas_Patton,285.3930054,8.6999998,0.166226,40.6562996,-11.6217003,1422.98999,386.2563782
72,S58,0.57825,53.541125,18.4965,149.09699,8.8,267.95,16.6,1.37,36.496,0,0,0,43.18051979,-116.7138797,Nancy Gulch,1358.33,West,6,0.42,Nicholas_Patton,267.4899902,8.8000002,0.0643441,0,-147.7720032,1358.439941,337.6156616
73,S59,0.64547619,60.00309524,13.10452381,144.47083,8.9,265.15,16.6,1.37,36.496,0,0,0,43.18077561,-116.7145575,Nancy Gulch,1349.48,Northwest,7.5,0.25,Nicholas_Patton,265.1430054,8.8999996,0.351943,53.6921997,-37.0149994,1349.23999,331.2417297
74,S60,1.521666667,70.25,7.375,616.33915,7.2,550.75,16.6,1.37,36.496,0,0,0,43.18866189,-116.8130672,Whiskey Hill,1649.89,Northwest,9.48999,-1.49,Nicholas_Patton,551.427002,7.1999998,0.0396728,0,259.9630127,1649.819946,759.5914917
75,S61,0.648333333,57.91666667,15.515,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.19101239,-116.7814212,S2Aa,NA,NA,NA,NA,Ryan_Will,319.1870117,9,0.138059,29.2138004,86.3799973,1311.630005,303.6627808
76,S61,0.648333333,57.91666667,15.515,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.19101239,-116.7814212,S2Ab,NA,NA,NA,NA,Ryan_Will,319.1870117,9,0.138059,29.2138004,86.3799973,1311.630005,303.6627808
77,S61,0.648333333,57.91666667,15.515,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.19101239,-116.7814212,S2Ac,NA,NA,NA,NA,Ryan_Will,319.1870117,9,0.138059,29.2138004,86.3799973,1311.630005,303.6627808
78,S62,1.225384615,76.9625641,12.44717949,558.082578,7.5,515.49,16.6,1.37,36.496,0,0,0,43.19159234,-116.8095646,Whiskey Hill,1600.85,Northwest,18.7613,1.09,Nicholas_Patton,517.8859863,7.5,0.0765021,15.9204998,329.8859863,1601.199951,643.2284546
79,S63,2.37,55.58833333,14.18166667,548.499818,7.7,509.69,16.6,1.37,36.496,0,0,0,43.19214026,-116.8079732,Whiskey Hill,1561.52,Northeast,26.4441,-7.44,Nicholas_Patton,511.1560059,7.67661,1.55502,61.9555016,386.7359924,1562.01001,552.4463501
80,S64,1.483333333,66.38,14.655,531.184762,7.7,499.21,16.6,1.37,36.496,0,0,0,43.19243739,-116.8066319,Whiskey Hill,1556.92,North,14.2814,0.76,Nicholas_Patton,500.4349976,7.6999998,0.116364,33.9916992,252.2409973,1556.579956,541.7547607
81,S65,0.711666667,74.61,12.28333333,655.562378,7.1,574.49,16.6,1.37,36.496,0,0,0,43.19273015,-116.8149283,Whiskey Hill,1656.56,East,24.0165,-10.81,Nicholas_Patton,574.4520264,7.1238699,0.344103,34.7112007,263.072998,1656.410034,626.0878296
82,S66,0.512702703,85.02135135,9.932162162,626.58279,7.5,556.95,16.6,1.37,36.496,0,0,0,43.19347351,-116.810691,Whiskey Hill,1591.32,Southeast,18.2607,-1.78,Nicholas_Patton,558.8359985,7.5,0.065004,29.6802006,178.470993,1591.920044,505.7986755
83,S67,0.657777778,22.91111111,42.02777778,249.187266,8.4,328.53,16.6,1.37,36.496,0,0,0,43.20024555,-116.7057467,Nancy Gulch,1403.57,North,10,0.2,Nicholas_Patton,328.447998,8.3995199,0.0216184,7.8849201,-237.220993,1403.420044,371.2469788
84,S68,0.4046875,42.8784375,11.260625,148.750028,9,267.74,16.6,1.37,36.496,0,0,0,43.20529592,-116.7506016,Quonset,1201.83,Northeast,2.34061,-0.02,Nicholas_Patton,267.8120117,9,0.141385,37.4644012,-31.9323997,1201.829956,224.4453583
85,S69,0.276363636,49.24424242,19.68212121,92.063046,9.2,233.43,16.6,1.37,36.496,0,0,0,43.2284173,-116.7368159,Flats,1187.91,Northwest,1.70107,1,Nicholas_Patton,233.1569977,9.1999998,0.0708225,1.3466901,-115.1849976,1187.859985,214.3636017
86,S70,0.39,70.355,17.30166667,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.24398495,-116.7068239,S8Aa,NA,NA,NA,NA,Ryan_Will,255.5930023,8.8000002,0.0616351,2.1199,-242.1820068,1291.410034,289.2399902
87,S70,0.39,70.355,17.30166667,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.24398495,-116.7068239,S8Ab,NA,NA,NA,NA,Ryan_Will,255.5930023,8.8000002,0.0616351,2.1199,-242.1820068,1291.410034,289.2399902
88,S70,0.39,70.355,17.30166667,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.24398495,-116.7068239,S8Ac,NA,NA,NA,NA,Ryan_Will,255.5930023,8.8000002,0.0616351,2.1199,-242.1820068,1291.410034,289.2399902
89,S71,0.455555556,42.49166667,4.948333333,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.2441009,-116.7290508,S10Aa,NA,NA,NA,NA,Ryan_Will,213.75,9.28267,0.0255243,0,-155.9900055,1190.430054,216.5214081
90,S71,0.455555556,42.49166667,4.948333333,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.2441009,-116.7290508,S10Ab,NA,NA,NA,NA,Ryan_Will,213.75,9.28267,0.0255243,0,-155.9900055,1190.430054,216.5214081
91,S71,0.455555556,42.49166667,4.948333333,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.2441009,-116.7290508,S10Ac,NA,NA,NA,NA,Ryan_Will,213.75,9.28267,0.0255243,0,-155.9900055,1190.430054,216.5214081
92,S72,0.155,78.55333333,11.63333333,132.376726,8.8,257.83,16.6,1.37,36.496,0,0,0,43.24720654,-116.7071648,Summit Greasewood,1284.18,Southwest,3.55728,-0.38,Nicholas_Patton,258.1380005,8.8000002,0.0687109,5.5534902,-213.1569977,1284.229981,284.2000122
93,S73,1.142777778,9.441666667,11.08,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.27961997,-116.808557,S22Aa,NA,NA,NA,NA,Ryan_Will,405.4049988,8.3000002,0.160476,40.3171997,70.8391037,1387.969971,359.4780884
94,S73,1.142777778,9.441666667,11.08,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.27961997,-116.808557,S22Ab,NA,NA,NA,NA,Ryan_Will,405.4049988,8.3000002,0.160476,40.3171997,70.8391037,1387.969971,359.4780884
95,S73,1.142777778,9.441666667,11.08,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.27961997,-116.808557,S22Ac,NA,NA,NA,NA,Ryan_Will,405.4049988,8.3000002,0.160476,40.3171997,70.8391037,1387.969971,359.4780884
